postal_code,post_office,post_office_bn,upazila,upazila_bn,district,district_bn,division,division_bn
1334,Gouragonj,গৌউরাগঞ্জ,Lohajong,লৌহজং,Munshiganj,মুন্সিগঞ্জ,Dhaka,ঢাকা
1534,Gouragonj,গৌউরাগঞ্জ,Lohajong,লৌহজং,Munshiganj,মুন্সিগঞ্জ,Dhaka,ঢাকা
1532,Haldia SO,হলদিয়া এস.ও,Lohajong,লৌহজং,Munshiganj,মুন্সিগঞ্জ,Dhaka,ঢাকা
1333,Haridia,হারিদিয়া,Lohajong,লৌহজং,Munshiganj,মুন্সিগঞ্জ,Dhaka,ঢাকা
1533,Haridia DESO,হরিদিয়া ডেসো,Lohajong,লৌহজং,Munshiganj,মুন্সিগঞ্জ,Dhaka,ঢাকা
1531,Korhati,কোরহাটি,Lohajong,লৌহজং,Munshiganj,মুন্সিগঞ্জ,Dhaka,ঢাকা
1530,Lohajang,লৌহজং,Lohajong,লৌহজং,Munshiganj,মুন্সিগঞ্জ,Dhaka,ঢাকা
1335,Madini Mandal,খনিজ মন্ডল,Lohajong,লৌহজং,Munshiganj,মুন্সিগঞ্জ,Dhaka,ঢাকা
1535,Medini Mandal EDSO,মেদিনী মন্ডল EDSO,Lohajong,লৌহজং,Munshiganj,মুন্সিগঞ্জ,Dhaka,ঢাকা
1503,Kathakhali,সেটাই,Munshiganj Sadar,মুন্সীগঞ্জ সদর,Munshiganj,মুন্সিগঞ্জ,Dhaka,ঢাকা
1502,Mirkadim,মিরকাদিম,Munshiganj Sadar,মুন্সীগঞ্জ সদর,Munshiganj,মুন্সিগঞ্জ,Dhaka,ঢাকা
1500,Munshiganj Sadar,মুন্সীগঞ্জ সদর,Munshiganj Sadar,মুন্সীগঞ্জ সদর,Munshiganj,মুন্সিগঞ্জ,Dhaka,ঢাকা
1501,Rikabibazar,রিকাবিবাজার,Munshiganj Sadar,মুন্সীগঞ্জ সদর,Munshiganj,মুন্সিগঞ্জ,Dhaka,ঢাকা
1542,Ichapur,ইছাপুর,Sirajdikhan,সিরাজদিখান,Munshiganj,মুন্সিগঞ্জ,Dhaka,ঢাকা
1541,Kola,কোলা,Sirajdikhan,সিরাজদিখান,Munshiganj,মুন্সিগঞ্জ,Dhaka,ঢাকা
1543,Malkha Nagar,মালখা নগর,Sirajdikhan,সিরাজদিখান,Munshiganj,মুন্সিগঞ্জ,Dhaka,ঢাকা
1544,Shekher Nagar,শেখর নগর,Sirajdikhan,সিরাজদিখান,Munshiganj,মুন্সিগঞ্জ,Dhaka,ঢাকা
1540,Sirajdikhan,সিরাজদিখান,Sirajdikhan,সিরাজদিখান,Munshiganj,মুন্সিগঞ্জ,Dhaka,ঢাকা
1557,Baghra,বাঘরা,Srinagar,শ্রীনগর,Munshiganj,মুন্সিগঞ্জ,Dhaka,ঢাকা
1551,Barikhal,বারিখাল,Srinagar,শ্রীনগর,Munshiganj,মুন্সিগঞ্জ,Dhaka,ঢাকা
1558,Bhaggyakul,Bhaggyakul,Srinagar,শ্রীনগর,Munshiganj,মুন্সিগঞ্জ,Dhaka,ঢাকা
1553,Hashara,একটি পোকা,Srinagar,শ্রীনগর,Munshiganj,মুন্সিগঞ্জ,Dhaka,ঢাকা
1554,Kolapara,কোলাপাড়া,Srinagar,শ্রীনগর,Munshiganj,মুন্সিগঞ্জ,Dhaka,ঢাকা
1555,Kumarbhog,কুমারভোগ,Srinagar,শ্রীনগর,Munshiganj,মুন্সিগঞ্জ,Dhaka,ঢাকা
1552,Mazpara,মাজপাড়া,Srinagar,শ্রীনগর,Munshiganj,মুন্সিগঞ্জ,Dhaka,ঢাকা
1550,Srinagar,শ্রীনগর,Srinagar,শ্রীনগর,Munshiganj,মুন্সিগঞ্জ,Dhaka,ঢাকা
1556,Vaggyakul SO,ভাগ্গ্যকুল এস.ও,Srinagar,শ্রীনগর,Munshiganj,মুন্সিগঞ্জ,Dhaka,ঢাকা
1523,Bajrajugini,বজ্রযুগিনী,Tangibari,টঙ্গিবাড়ি,Munshiganj,মুন্সিগঞ্জ,Dhaka,ঢাকা
1522,Baligao,বালিগাও,Tangibari,টঙ্গিবাড়ি,Munshiganj,মুন্সিগঞ্জ,Dhaka,ঢাকা
1521,Betkahat,বেতকহাতে,Tangibari,টঙ্গিবাড়ি,Munshiganj,মুন্সিগঞ্জ,Dhaka,ঢাকা
1525,Dighirpar,দীঘিরপাড়,Tangibari,টঙ্গিবাড়ি,Munshiganj,মুন্সিগঞ্জ,Dhaka,ঢাকা
1524,Hasail,গাধা,Tangibari,টঙ্গিবাড়ি,Munshiganj,মুন্সিগঞ্জ,Dhaka,ঢাকা
1527,Pura,পুরা,Tangibari,টঙ্গিবাড়ি,Munshiganj,মুন্সিগঞ্জ,Dhaka,ঢাকা
1526,Pura EDSO,বিশুদ্ধ EDSO,Tangibari,টঙ্গিবাড়ি,Munshiganj,মুন্সিগঞ্জ,Dhaka,ঢাকা
1520,Tangibari,টঙ্গিবাড়ি,Tangibari,টঙ্গিবাড়ি,Munshiganj,মুন্সিগঞ্জ,Dhaka,ঢাকা
1450,Araihazar,আড়াইহাজার,Araihazar,আড়াইহাজার,Narayanganj,নারায়ণগঞ্জ,Dhaka,ঢাকা
1451,Gopaldi,গোপালদী,Araihazar,আড়াইহাজার,Narayanganj,নারায়ণগঞ্জ,Dhaka,ঢাকা
1440,Baidder Bazar,বাইদ্দার বাজার,Baidder Bazar,বাইদ্দার বাজার,Narayanganj,নারায়ণগঞ্জ,Dhaka,ঢাকা
1441,Bara Nagar,বড় নগর,Baidder Bazar,বাইদ্দার বাজার,Narayanganj,নারায়ণগঞ্জ,Dhaka,ঢাকা
1442,Barodi,প্যারোডি,Baidder Bazar,বাইদ্দার বাজার,Narayanganj,নারায়ণগঞ্জ,Dhaka,ঢাকা
1410,Bandar,বন্দর,Bandar,বন্দর,Narayanganj,নারায়ণগঞ্জ,Dhaka,ঢাকা
1413,BIDS,বিআইডিএস,Bandar,বন্দর,Narayanganj,নারায়ণগঞ্জ,Dhaka,ঢাকা
1411,D.C Mills,ডিসি মিলস,Bandar,বন্দর,Narayanganj,নারায়ণগঞ্জ,Dhaka,ঢাকা
1414,Madanganj,মদনগঞ্জ,Bandar,বন্দর,Narayanganj,নারায়ণগঞ্জ,Dhaka,ঢাকা
1412,Nabiganj,নবীগঞ্জ,Bandar,বন্দর,Narayanganj,নারায়ণগঞ্জ,Dhaka,ঢাকা
1421,Fatulla Bazar,ফতুল্লা বাজার,Fatullah,ফতুল্লাহ,Narayanganj,নারায়ণগঞ্জ,Dhaka,ঢাকা
